code,label,month,revenue_czk,tx_washer_czk,tx_dryer_czk
00021CZ,"Praha Pruhonice Orlen, D1 5.km, směr Brno, 149 00 Újezd u Průhonic (Praha - Brno)",2025-11,950,,
00021CZ,"Praha Pruhonice Orlen, D1 5.km, směr Brno, 149 00 Újezd u Průhonic (Praha - Brno)",2025-12,7990,,
00021CZ,"Praha Pruhonice Orlen, D1 5.km, směr Brno, 149 00 Újezd u Průhonic (Praha - Brno)",2026-01,7290,,
00021CZ,"Praha Pruhonice Orlen, D1 5.km, směr Brno, 149 00 Újezd u Průhonic (Praha - Brno)",2026-02,12510,,
00021CZ,"Praha Pruhonice Orlen, D1 5.km, směr Brno, 149 00 Újezd u Průhonic (Praha - Brno)",2026-03,11880,,
00021CZ,"Praha Pruhonice Orlen, D1 5.km, směr Brno, 149 00 Újezd u Průhonic (Praha - Brno)",2026-04,18620,,
00021CZ,"Praha Pruhonice Orlen, D1 5.km, směr Brno, 149 00 Újezd u Průhonic (Praha - Brno)",2026-05,17070,,
00021CZ,"Praha Pruhonice Orlen, D1 5.km, směr Brno, 149 00 Újezd u Průhonic (Praha - Brno)",2026-06,17900,,
00021CZ,"Praha Pruhonice Orlen, D1 5.km, směr Brno, 149 00 Újezd u Průhonic (Praha - Brno)",2026-07,19530,,
00021CZ,"Praha Pruhonice Orlen, D1 5.km, směr Brno, 149 00 Újezd u Průhonic (Praha - Brno)",2026-08,3230,,
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2023-02,12550,,
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2023-03,14360,,
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2023-04,23480,,
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2023-05,23690,,
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2023-06,23750,,
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2023-07,28220,,
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2023-08,27980,,
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2023-09,24830,,
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2023-10,20780,,
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2023-11,17260,,
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2023-12,19880,,
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2024-01,15580,,
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2024-02,19330,,
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2024-03,20700,,
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2024-04,18960,,
