code,label,month,wash_count,customers
00021CZ,"Praha Pruhonice Orlen, D1 5.km, směr Brno, 149 00 Újezd u Průhonic (Praha - Brno)",2025-11,3,4
00021CZ,"Praha Pruhonice Orlen, D1 5.km, směr Brno, 149 00 Újezd u Průhonic (Praha - Brno)",2025-12,25,43
00021CZ,"Praha Pruhonice Orlen, D1 5.km, směr Brno, 149 00 Újezd u Průhonic (Praha - Brno)",2026-01,24,41
00021CZ,"Praha Pruhonice Orlen, D1 5.km, směr Brno, 149 00 Újezd u Průhonic (Praha - Brno)",2026-02,41,67
00021CZ,"Praha Pruhonice Orlen, D1 5.km, směr Brno, 149 00 Újezd u Průhonic (Praha - Brno)",2026-03,40,66
00021CZ,"Praha Pruhonice Orlen, D1 5.km, směr Brno, 149 00 Újezd u Průhonic (Praha - Brno)",2026-04,58,102
00021CZ,"Praha Pruhonice Orlen, D1 5.km, směr Brno, 149 00 Újezd u Průhonic (Praha - Brno)",2026-05,58,97
00021CZ,"Praha Pruhonice Orlen, D1 5.km, směr Brno, 149 00 Újezd u Průhonic (Praha - Brno)",2026-06,58,101
00021CZ,"Praha Pruhonice Orlen, D1 5.km, směr Brno, 149 00 Újezd u Průhonic (Praha - Brno)",2026-07,66,114
00021CZ,"Praha Pruhonice Orlen, D1 5.km, směr Brno, 149 00 Újezd u Průhonic (Praha - Brno)",2026-08,12,19
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2023-02,47,76
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2023-03,38,84
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2023-04,71,111
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2023-05,75,117
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2023-06,73,120
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2023-07,94,129
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2023-08,93,130
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2023-09,78,115
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2023-10,64,110
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2023-11,53,88
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2023-12,58,102
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2024-01,49,83
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2024-02,61,105
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2024-03,61,109
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2024-04,56,89
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2024-05,72,106
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2024-06,86,127
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2024-07,88,126
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2024-08,125,179
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2024-09,103,155
